n,r,m
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: හදිසි අනතුරු රක්ෂණ ව්‍යාපාරය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: වගකීම් රක්ෂණ ව්‍යාපාරය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: සුරැකුම් රක්ෂණ ව්‍යාපාරය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: සොරකම් රක්ෂණ ව්‍යාපාරය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: මුදල් ප්‍රවාහන රක්ෂණ ව්‍යාපාරය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: මුදල් සුරැකුම් රක්ෂණ ව්‍යාපාරය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: අනුමත සුරැකුම්})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: ප්‍රාදේශීය අධිකාරි සුරැකුම්})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: රක්ෂණකරු})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: නියමිත දිනය})
(:Entity {name: පනතේ 31 වන වගන්තිය}),[:අර්ථ_දැක්වීම],(:Entity {name: දිගු කාලීන සහ සාමාන්‍ය රක්ෂණ})
(:Entity {name: සාමාන්‍ය රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: ගිනි රක්ෂණ})
(:Entity {name: සාමාන්‍ය රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: සමුද්‍ර රක්ෂණ})
(:Entity {name: සාමාන්‍ය රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: මෝටර් රථ රක්ෂණ})
(:Entity {name: සාමාන්‍ය රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: හදිසි අනතුරු රක්ෂණ})
(:Entity {name: සාමාන්‍ය රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: දිගු කාලීන ස්වභාවයේ ගිවිසුම්})
(:Entity {name: දිගු කාලීන ව්‍යාපාර}),[:ඇතුළත්_වීම],(:Entity {name: ජීවිත රක්ෂණ ව්‍යාපාරය})
(:Entity {name: දිගු කාලීන ව්‍යාපාර}),[:ඇතුළත්_වීම],(:Entity {name: බැඳුම්කර ආයෝජන ව්‍යාපාරය})
(:Entity {name: බැඳුම්කර ආයෝජන ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: දිගු කාලීන ව්‍යාපාරය})
(:Entity {name: බැඳුම්කර ආයෝජන ව්‍යාපාරය}),[:සම්බන්ධතාවය],(:Entity {name: ජීවිත රක්ෂණ ව්‍යාපාරය})
(:Entity {name: බැඳුම්කර ආයෝජන ව්‍යාපාරය}),[:සම්බන්ධතාවය],(:Entity {name: බැඳුම්කර හෝ සුරැකුම්වල ආයෝජන})
(:Entity {name: ගිනි රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: ගිනි හෝ පිපිරීම් නිසා හානි})
(:Entity {name: ගිනි රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: ගිනි නිවීමේ කටයුතුවලදී හානි})
(:Entity {name: මෝටර් රථ රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: මෝටර් රථ භාවිතයෙන් හානි})
(:Entity {name: මෝටර් රථ රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: වාහන හානි සහ තුන්වන පාර්ශ්ව වගකීම්})
(:Entity {name: සමුද්‍ර රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: නැව් භාණ්ඩ ප්‍රවාහන මාධ්‍ය හානි})
(:Entity {name: සමුද්‍ර රක්ෂණ ව්‍යාපාරය}),[:සම්බන්ධතාවය],(:Entity {name: සමුද්‍ර ප්‍රවාහනය})
(:Entity {name: කළමනාකරු}),[:පාලනය],(:Entity {name: රක්ෂණකරුගේ සම්පූර්ණ කටයුතු})
(:Entity {name: කළමනාකරු}),[:පාලනය],(:Entity {name: සමාගමේ සම්පූර්ණ කටයුතු})
(:Entity {name: කළමනාකරු}),[:වේ],(:Entity {name: සේවකයෙකු})
(:Entity {name: කළමනාකරු}),[:යටත්ත්වය],(:Entity {name: අධ්‍යක්ෂ මණ්ඩලයේ පාලනය සහ අධීක්ෂණය})
(:Entity {name: ප්‍රධාන නියෝජිත}),[:නොවේ],(:Entity {name: වැටුප් සහිත සේවකයෙකු})
(:Entity {name: ප්‍රධාන නියෝජිත}),[:ඉටු_කරයි],(:Entity {name: පරිපාලන සහ සංවිධානාත්මක කාර්යයන්})
(:Entity {name: ප්‍රධාන නියෝජිත}),[:වේ],(:Entity {name: ස්වාධීන කොන්ත්‍රාත්කරුවෙකු})
(:Entity {name: ප්‍රධාන නියෝජිත}),[:ලැබීම],(:Entity {name: රක්ෂණ ව්‍යාපාර})
(:Entity {name: ප්‍රධාන නියෝජිත}),[:ලැබීම],(:Entity {name: කොමිස් මුදල})
(:Entity {name: ප්‍රධාන නියෝජිත}),[:ලැබීම],(:Entity {name: කොමිස්})
(:Entity {name: රක්ෂණ ඔප්පු හිමියා}),[:හිමිකම],(:Entity {name: රක්ෂණ ඔප්පුවේ සම්පූර්ණ අයිතිය})
(:Entity {name: තාවකාලික පැවරුම්කරුවෙකු}),[:සැලකීම],(:Entity {name: රක්ෂණ ඔප්පු හිමියෙකු ලෙස})
(:Entity {name: නිලධාරී}),[:ඇතුළත්_වීම],(:Entity {name: අධ්‍යක්ෂවරයෙකු})
(:Entity {name: නිලධාරී}),[:ඇතුළත්_වීම],(:Entity {name: කළමනාකාරී අධ්‍යක්ෂවරයෙකු})
(:Entity {name: නිලධාරී}),[:ඇතුළත්_වීම],(:Entity {name: කළමනාකරුවෙකු හෝ ලේකම්වරයෙකු})
(:Entity {name: නැවත රක්ෂණය}),[:වේ],(:Entity {name: වගකීම වෙනත් රක්ෂණකරුවෙකුට පැවරීම})
(:Entity {name: නැවත රක්ෂණය}),[:නියම_කිරීම],(:Entity {name: රෙගුලාසි මගින්})
(:Entity {name: නැවත රක්ෂණය}),[:පවරීම],(:Entity {name: වගකීම වෙනත් රක්ෂණකරුවෙකුට})
(:Entity {name: නැවත රක්ෂණය}),[:ආරක්ෂා_කිරීම],(:Entity {name: රක්ෂණකරුව})
(:Entity {name: රක්ෂණකරුවෙකු}),[:කරයි],(:Entity {name: නැවත රක්ෂණය})
(:Entity {name: ජාතික රක්ෂණ සංස්ථාව}),[:පිහිටුවීම],(:Entity {name: රක්ෂණ (විශේෂ විධිවිධාන) පනත අංක 22/1979 යටතේ})
(:Entity {name: බංකොලොත් කිරීමේ විනිශ්චය සභාව}),[:පත්_කිරීම],(:Entity {name: පනතේ 62 වන වගන්තිය යටතේ})
(:Entity {name: හදිසි අනතුරු රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: හදිසි අනතුරු හෝ තුවාල})
(:Entity {name: හදිසි අනතුරු රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: පුද්ගලික සහ කාර්මික හදිසි අනතුරු})
(:Entity {name: වගකීම් රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: නීතිමය වගකීම්})
(:Entity {name: වගකීම් රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: වෘත්තීය වගකීම් රක්ෂණ})
(:Entity {name: වගකීම් රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: නිෂ්පාදන වගකීම් රක්ෂණ})
(:Entity {name: සුරැකුම් රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: අවිශ්වාසනීයත්වය හෝ ගිවිසුම් බැඳීම් ඉටු නොකිරීම})
(:Entity {name: සුරැකුම් රක්ෂණ ව්‍යාපාරය}),[:ඇතුළත්_වීම],(:Entity {name: කාර්ය සාධන සුරැකුම්})
(:Entity {name: සොරකම් රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: සොරකම් කොල්ලකෑම් හෝ බලහත්කාරයෙන් ඇතුළුවීම})
(:Entity {name: සොරකම් රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: දේපළ හානි හෝ අලාභ})
(:Entity {name: මුදල් ප්‍රවාහන රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: මුදල් හෝ වටිනා භාණ්ඩ ප්‍රවාහනයේදී හානි})
(:Entity {name: මුදල් සුරැකුම් රක්ෂණ ව්‍යාපාරය}),[:වන්දි_ගෙවයි],(:Entity {name: සුරැකුම් කට්ටලවල ගබඩා මුදල් හානි})
(:Entity {name: අනුමත සුරැකුම්}),[:ඇතුළත්_වීම],(:Entity {name: ශ්‍රී ලංකා රජය විසින් නිකුත් කරන ලද සුරැකුම්})
(:Entity {name: අනුමත සුරැකුම්}),[:ඇතුළත්_වීම],(:Entity {name: ප්‍රාදේශීය අධිකාරි සුරැකුම්})
(:Entity {name: අනුමත සුරැකුම්}),[:ඇතුළත්_වීම],(:Entity {name: ශ්‍රී ලංකා රජයේ සුරැකුම්})
(:Entity {name: ප්‍රාදේශීය අධිකාරි සුරැකුම්}),[:හැකියාව],(:Entity {name: ක්‍රියාත්මක වන නීතියට අනුව})
(:Entity {name: ප්‍රාදේශීය අධිකාරි සුරැකුම්}),[:හිමිකම],(:Entity {name: අනුමත සුරැකුම් කාණ්ඩය})
(:Entity {name: ප්‍රාදේශීය අධිකාරි සුරැකුම්}),[:නිකුත්_කිරීම],(:Entity {name: ප්‍රාදේශීය අධිකාරියක් විසින්})
(:Entity {name: රක්ෂණකරු}),[:බලය_ලත්],(:Entity {name: රක්ෂණ ව්‍යාපාර කටයුතු})
(:Entity {name: රක්ෂණකරු}),[:වේ],(:Entity {name: රක්ෂණ ව්‍යාපාර කිරීමට ලියාපදිංචි සමාගම})
(:Entity {name: රක්ෂණකරු}),[:ලියාපදිංචි_කිරීම],(:Entity {name: පනත යටතේ})
(:Entity {name: රක්ෂණකරු}),[:සංස්ථාගත_කිරීම],(:Entity {name: ශ්‍රී ලංකාවේ ක්‍රියාත්මක වන නීතිය යටතේ})
(:Entity {name: රක්ෂණකරු}),[:සැපයීම],(:Entity {name: සේවා})
(:Entity {name: නියමිත දිනය}),[:වේ],(:Entity {name: පනත ක්‍රියාත්මක වන දිනය})
(:Entity {name: දිගු කාලීන සහ සාමාන්‍ය රක්ෂණ}),[:අවශ්‍ය_ප්‍රාග්ධනය],(:Entity {name: රුපියල් මිලියන 50})
(:Entity {name: සමාගම් පනත යටතේ ලියාපදිංචි කිරීම}),[:සහතික_කරයි],(:Entity {name: ආයතනික පාලනය})
(:Entity {name: සමාගම් පනත යටතේ ලියාපදිංචි කිරීම}),[:ලබා_දීම],(:Entity {name: නීතිමය පුද්ගලත්වය})
(:Entity {name: සමාගම් පනත යටතේ ලියාපදිංචි කිරීම}),[:ආරක්ෂා_කිරීම],(:Entity {name: කොටස්කරුවන්ගේ සහ රක්ෂණ හිමියන්ගේ අයිතිවාසිකම්})
(:Entity {name: පනතේ 4 සහ 5 වගන්ති}),[:නියම_කිරීම],(:Entity {name: ලියාපදිංචි කිරීමේ අවශ්‍යතා})
(:Entity {name: රක්ෂණ පාලන පනතේ ප්‍රධාන අරමුණ}),[:වේ],(:Entity {name: රක්ෂණ ව්‍යාපාරයේ නියාමනය සහ අධීක්ෂණය})
(:Entity {name: පනත් අංක 43/2000}),[:අවලංගු_කිරීම],(:Entity {name: රක්ෂණ පාලන පනත})
(:Entity {name: නව රක්ෂණ සමාගමක්}),[:තහවුරු_කළ_යුතුය],(:Entity {name: රක්ෂණ ව්‍යාපාර පමණක් කිරීමේ අරමුණ})
(:Entity {name: නව රක්ෂණ සමාගමක්}),[:ලියාපදිංචි_කිරීම],(:Entity {name: රක්ෂණ පාලන පනත යටතේ})
(:Entity {name: නව රක්ෂණ සමාගමක්}),[:ලැබීම],(:Entity {name: අවම ගෙවූ කොටස් ප්‍රාග්ධනය})
(:Entity {name: නව රක්ෂණ සමාගමක්}),[:සංස්ථාගත_කිරීම],(:Entity {name: සමාගම් පනත යටතේ})
(:Entity {name: පනතේ 5(1)(b)(iii) වගන්තිය}),[:නියම_කිරීම],(:Entity {name: කොන්දේසි})
(:Entity {name: නිශ්චිත කොන්දේසි සපුරාලන සාමාජික සංගම්}),[:නිදහස්_වීම],(:Entity {name: පනතෙන්})
(:Entity {name: ලියාපදිංචි නොවී රක්ෂණ ව්‍යාපාර කිරීම}),[:හැකියාව],(:Entity {name: නීතිමය ප්‍රතිවිපාක})
(:Entity {name: ලියාපදිංචි නොවී රක්ෂණ ව්‍යාපාර කිරීම}),[:වේ],(:Entity {name: නීති විරෝධී})
(:Entity {name: රක්ෂණ හිමියා}),[:වේ],(:Entity {name: රක්ෂණ ඔප්පුව මිලදී ගත් පුද්ගලයා})
(:Entity {name: රක්ෂණ හිමියා}),[:ලැබීම],(:Entity {name: සේවා})
(:Entity {name: සේවා යෝජකයන්ගේ සේවකයන් සඳහා සංගමක්}),[:නිදහස්_වීම],(:Entity {name: පනතෙන්})
(:Entity {name: එවැනි සංගමක්}),[:ලියාපදිංචි_කිරීම],(:Entity {name: පනත යටතේ})
(:Entity {name: අනුබද්ධ සමාගම}),[:ලියාපදිංචි_කිරීම],(:Entity {name: ශ්‍රී ලංකා සමාගම් පනත යටතේ})
(:Entity {name: හේතු}),[:ඇතුළත්_වීම],(:Entity {name: මහජන අවශ්‍යතා විනිවිදභාවය වගවීම})
(:Entity {name: රුපියල් මිලියන 10}),[:සපුරා_නොමැත],(:Entity {name: අවම ප්‍රාග්ධන අවශ්‍යතා})
(:Entity {name: සංස්ථාපන නියෝගය}),[:තීරණය_කිරීම],(:Entity {name: සාමාජිකයින් සංඛ්‍යාව})
(:Entity {name: සංස්ථාපන නියෝගය}),[:ඇතුළත්_වීම],(:Entity {name: රක්ෂණ ව්‍යාපාරයේ විස්තරය})
(:Entity {name: සංස්ථාපන නියෝගය}),[:ඇතුළත්_වීම],(:Entity {name: ආයතනික නම})
(:Entity {name: සංස්ථාපන නියෝගය}),[:ඇතුළත්_වීම],(:Entity {name: ආරම්භක ප්‍රාග්ධනය})
(:Entity {name: සංස්ථාපන නියෝගය}),[:ඇතුළත්_වීම],(:Entity {name: අධ්‍යක්ෂ මණ්ඩල සාමාජිකයින්ගේ සංඛ්‍යාව})
(:Entity {name: සංස්ථාපන නියෝගය}),[:ප්‍රකාශයට_පත්_කිරීම],(:Entity {name: ගැසට් පත්‍රයේ})
(:Entity {name: අනුබද්ධ සංස්ථාවක ආරම්භක ප්‍රාග්ධනය}),[:ගෙවීම],(:Entity {name: රක්ෂණ සංස්ථාවේ අරමුදල් වලින්})
(:Entity {name: අනුබද්ධ සංස්ථාවක ප්‍රාග්ධනය}),[:ගෙවීම],(:Entity {name: රක්ෂණ සංස්ථාවේ අරමුදල් වලින්})
(:Entity {name: ස්වාධීන සංස්ථාවක ප්‍රාග්ධනය}),[:ගෙවීම],(:Entity {name: එක්සත් අරමුදලෙන්})
(:Entity {name: මුදල් විෂයයට භාර අමාත්‍යවරයා}),[:එකඟ_විය_යුතුය],(:Entity {name: වන්දි මුදල})
(:Entity {name: මුදල් විෂයයට භාර අමාත්‍යවරයා}),[:එකඟ_විය_යුතුය],(:Entity {name: ප්‍රාග්ධන වැඩි කිරීම})
(:Entity {name: මුදල් විෂයයට භාර අමාත්‍යවරයා}),[:තීරණය_කිරීම],(:Entity {name: අමාත්‍යවරයාගේ එකඟත්වය සමඟ})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩල සාමාජිකයින්}),[:වේ],(:Entity {name: සංස්ථාවේ සාමාජිකයින්})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩල සාමාජිකයින්}),[:පත්_කිරීම],(:Entity {name: අමාත්‍යවරයා විසින්})
(:Entity {name: සාමාජිකයෙක්}),[:නිලධාරී_ධුරය_දරයි],(:Entity {name: වසර තුනක කාලයක්})
(:Entity {name: පාර්ලිමේන්තු මන්ත්‍රීවරයෙකු}),[:නුසුදුසු_වේ],(:Entity {name: අධ්‍යක්ෂ මණ්ඩලයේ සාමාජිකත්වයට})
(:Entity {name: පනතේ 8(2) වගන්තිය}),[:තහනම],(:Entity {name: පාර්ලිමේන්තු මන්ත්‍රීවරුන්})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩල රැස්වීමක ගණපූරණය}),[:වේ],(:Entity {name: සාමාජිකයින් තුන් දෙනෙක})
(:Entity {name: සභාපතිවරයා}),[:ප්‍රධානත්වය_දරයි],(:Entity {name: රැස්වීම})
(:Entity {name: සභාපතිවරයා}),[:නිලය_දරනු_ලබයි],(:Entity {name: අධ්‍යක්ෂ මණ්ඩල සාමාජිකත්වයේ කාලය සඳහා})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩල සාමාජිකයෙකු}),[:හෙළි_දළ_යුතුය],(:Entity {name: උනන්දුවේ ස්වභාවය})
(:Entity {name: හෙළිදරව් කිරීම}),[:සටහන්_කිරීම],(:Entity {name: අධ්‍යක්ෂ මණ්ඩලයේ විනිශ්චයන වලට})
(:Entity {name: සාමාජිකයා}),[:කොටසක්_නොවිය_යුතුය],(:Entity {name: තීරණයකට})
(:Entity {name: අධ්‍යක්ෂවරුන්}),[:ලැබීම],(:Entity {name: වන්දි මුදල්})
(:Entity {name: වන්දි මුදල}),[:ගෙවීම],(:Entity {name: සංස්ථාවේ අරමුදල් වලින්})
(:Entity {name: කොටස් හිමියන්ගේ ලේඛනය}),[:ඇතුළත්_වීම],(:Entity {name: කොටස් හිමියන්ගේ නම් සහ ලිපිනයන්})
(:Entity {name: කොටස් හිමියන්ගේ ලේඛනය}),[:ඇතුළත්_වීම],(:Entity {name: කොටස් ප්‍රකාශයක්})
(:Entity {name: කොටස් හිමියන්ගේ ලේඛනය}),[:ඇතුළත්_වීම],(:Entity {name: ලේඛනයට ඇතුළත් කළ දිනය})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:හැකියාව],(:Entity {name: සංස්ථාවේ සියලුම බලතල})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:හැකියාව],(:Entity {name: රැස්වීම් ක්‍රියා පටිපාටිය})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:වේ],(:Entity {name: සංස්ථාවක අධ්‍යක්ෂ මණ්ඩලය})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:පවරීම],(:Entity {name: සාමාන්‍ය පාලනය අධීක්ෂණය පරිපාලනය})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:තබා_ගැනීම],(:Entity {name: කොටස් හිමියන්ගේ ලේඛනය})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:සැපයීම],(:Entity {name: පහසුකම් සහ තොරතුරු})
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය}),[:වෙනස්_කිරීම],(:Entity {name: මුද්‍රාව})
(:Entity {name: සංස්ථාවේ අරමුදල}),[:ලැබීම],(:Entity {name: රක්ෂණ ප්‍රතිපත්ති වාරික})
(:Entity {name: සංස්ථාවේ අරමුදල}),[:ලැබීම],(:Entity {name: ව්‍යාපාරය පැවැත්වීමේදී ලබන මුදල්})
(:Entity {name: සංස්ථාවේ අරමුදලෙන්}),[:ගෙවීම],(:Entity {name: රක්ෂණ ප්‍රතිපත්ති යටතේ වගකීම්})
(:Entity {name: සංස්ථාවේ අරමුදලෙන්}),[:ගෙවීම],(:Entity {name: ව්‍යාපාරය පැවැත්වීමේ වියදම්})
(:Entity {name: සංස්ථාව}),[:හැකියාව],(:Entity {name: නිලධාරීන් සහ සේවකයින්})
(:Entity {name: සංස්ථාව}),[:හැකියාව],(:Entity {name: විනය පාලනය})
(:Entity {name: සංස්ථාව}),[:ක්‍රියාත්මක_කිරීම],(:Entity {name: උපදෙස්})
(:Entity {name: සංස්ථාව}),[:නැවත_රක්ෂණය_කළ_යුතුය],(:Entity {name: රක්ෂණ සංස්ථාව සමඟ})
(:Entity {name: සංස්ථාව}),[:සැලකීම],(:Entity {name: සටහන්ගත ආයතනයක් ලෙස})
(:Entity {name: සංස්ථාව}),[:ගෙවීම],(:Entity {name: සේවක වර්ධන අරමුදලට දායක මුදල්})
(:Entity {name: සංස්ථාව}),[:ලැබීම],(:Entity {name: කොමිෂන් මුදලක්})
(:Entity {name: සංස්ථාව}),[:ලබා_දීම],(:Entity {name: වන්දි ආරක්ෂාව})
(:Entity {name: සංස්ථාව}),[:පිහිටුවීම],(:Entity {name: 2 හෝ 3 වගන්තිය යටතේ})
(:Entity {name: මාරු_කරන_ලද_සේවකයා}),[:දරනු_ලබයි],(:Entity {name: අඩු වාසිදායක නොවන කොන්දේසි})
(:Entity {name: රක්ෂණ සංස්ථාවේ සේවා කාලය}),[:සැලකීම],(:Entity {name: නව සංස්ථාවේ සේවා කාලයක් ලෙස})
(:Entity {name: සේවකයෙකු මාරු කරන විට}),[:බැර_කරනු_ලබයි],(:Entity {name: පුද්ගලික ගිණුමේ මුදල})
(:Entity {name: අධ්‍යක්ෂවරයෙකු හෝ බලය පවරන ලද පුද්ගලයෙකු}),[:හැකියාව],(:Entity {name: සංස්ථාව වෙනුවෙන් ක්‍රියා කිරීමට})
(:Entity {name: වෙනත් කිසිවෙකුට}),[:තහනම],(:Entity {name: විනිමය බිල්පත් සෑදීමට})
(:Entity {name: ලදුපත}),[:වේ],(:Entity {name: ඵලදායී මුදා හැරීමක්})
(:Entity {name: ලදුපත}),[:අත්සන්_කිරීම],(:Entity {name: අධ්‍යක්ෂවරුන් දෙදෙනෙකු විසින්})
(:Entity {name: රක්ෂණ සංස්ථාව}),[:හැකියාව],(:Entity {name: කළමනාකරණ සේවා})
(:Entity {name: රක්ෂණ සංස්ථාව}),[:හැකියාව],(:Entity {name: ගාස්තු})
(:Entity {name: සංස්ථාවේ ලාභ}),[:හැකියාව],(:Entity {name: සුරක්ෂිතභාවයන්හි})
(:Entity {name: සංස්ථාවේ ලාභ}),[:හැකියාව],(:Entity {name: ලාභාංශයක් ලෙස})
(:Entity {name: සමාගම් ආඥා පනත}),[:අදාළතාව],(:Entity {name: සංස්ථාවකට})
(:Entity {name: වන්දි ආරක්ෂාව}),[:අදාළතාව],(:Entity {name: හිතාමතා කළ ක්‍රියාවක්})
(:Entity {name: අනුමත නොකළ රෙගුලාසි}),[:අවලංගු_කිරීම],(:Entity {name: අනුමත නොකිරීමේ දිනයේ සිට})
(:Entity {name: සංස්ථාවේ නිලධාරීන් සහ සේවකයින්}),[:සැලකීම],(:Entity {name: රාජ්‍ය සේවකයින් ලෙස})
(:Entity {name: විසර්ජනයේදී}),[:පවරීම],(:Entity {name: සියලුම දේපළ රක්ෂණ සංස්ථාවට})
(:Entity {name: විසර්ජනයේදී}),[:පවරීම],(:Entity {name: සියලුම දේපළ රජයට})
(:Entity {name: රාජ්‍ය සංස්ථා (මූල්‍ය පාලන) පනතේ විධිවිධාන}),[:අදාළතාව],(:Entity {name: අනුබද්ධ සංස්ථාවක මූල්‍ය පාලනය})
(:Entity {name: අනුබද්ධ සංස්ථාවක මූල්‍ය වර්ෂය}),[:වේ],(:Entity {name: දින දර්ශන වර්ෂය})
(:Entity {name: රාජ්‍ය සංස්ථාවක්}),[:ප්‍රාග්ධනය_සපයනු_ලබයි],(:Entity {name: රජය විසින්})
(:Entity {name: ප්‍රාග්ධනය}),[:වේ],(:Entity {name: එකල පවතින සංස්ථාවේ ප්‍රාග්ධනය})
(:Entity {name: සංස්ථාවේ මුද්‍රාව}),[:භාරකාරත්වයේ_තිබිය_යුතුය],(:Entity {name: අධ්‍යක්ෂ මණ්ඩලය})
(:Entity {name: නිලධර කාලය අවසන් වූ අධ්‍යක්ෂවරයෙකු}),[:නැවත_පත්_කිරීමට_සුදුසුකම්_ලැබේ],(:Entity {name: })
(:Entity {name: අධ්‍යක්ෂ මණ්ඩලයේ ක්‍රියාව}),[:අවලංගු_කිරීම],(:Entity {name: පුරප්පාඩුවක් හෝ පත්වීමේ දෝෂයක් හේතුවෙන්})
(:Entity {name: සංස්ථාවේ ප්‍රාග්ධනය}),[:හැකියාව],(:Entity {name: අමාත්‍යවරයාගේ අනුමැතිය සමඟ})
(:Entity {name: රක්ෂණ සංස්ථා පනතේ 5 වගන්තිය}),[:අදාළතාව],(:Entity {name: සංස්ථාවක කාර්යයන්})
(:Entity {name: රක්ෂණ සංස්ථා පනතේ 6 වගන්තිය}),[:අදාළතාව],(:Entity {name: සංස්ථාවක බලතල})
(:Entity {name: 6(c) සහ 6(g) ඡේද}),[:අදාළතාව],(:Entity {name: සංස්ථාවකට})
(:Entity {name: සංස්ථාවක්}),[:හැකියාව],(:Entity {name: ගිවිසුම්})
(:Entity {name: සංස්ථාවක්}),[:ඇතුළත්_වීම],(:Entity {name: ගිවිසුම්වලට})
(:Entity {name: 20 වගන්තිය}),[:යටත්ත්වය],(:Entity {name: විධිවිධාන})
(:Entity {name: ස්වාධීන සංස්ථාවක මූල්‍ය වර්ෂය}),[:වේ],(:Entity {name: දින දර්ශන වර්ෂය})
(:Entity {name: භාණ්ඩ විකිණීමේ කොන්ත්‍රාත්තුවක්}),[:හැකියාව],(:Entity {name: ලිඛිතව වාචිකව හෝ හැසිරීම් මගින්})
(:Entity {name: භාණ්ඩ විකිණීමේ කොන්ත්‍රාත්තුවක්}),[:මාරු_කිරීම],(:Entity {name: දේපළ හිමිකම})
(:Entity {name: දේපළ හිමිකම}),[:මාරු_කිරීම],(:Entity {name: පාර්ශ්වයන් අදහස් කරන අවස්ථාවේදී})
(:Entity {name: විකුණුම්කරු}),[:බෙදා_හැරීමට_බැඳී_සිටී],(:Entity {name: භාණ්ඩ මිලදී ගන්නා සතු කිරීමට අවශ්‍ය දේ කළ විට})
(:Entity {name: විකුණුම්කරු}),[:අනිවාර්ය_වීම],(:Entity {name: භාණ්ඩ විකිණීමේ අයිතිය})
(:Entity {name: විකුණුම්කරු}),[:මාරු_කිරීම],(:Entity {name: මිලදී ගන්නාට})
(:Entity {name: මිලදී ගන්නාට}),[:අයිතිවාසිකම],(:Entity {name: භාණ්ඩ ප්‍රතික්ෂේප කිරීමේ})
(:Entity {name: මිලදී ගන්නාට}),[:අනිවාර්ය_වීම],(:Entity {name: නියැදිය සැසඳීමට අවස්ථාවක්})
(:Entity {name: මිලදී ගන්නා}),[:අයිතිවාසිකම],(:Entity {name: භාණ්ඩ පරීක්ෂා කිරීමට})
(:Entity {name: මිලදී ගන්නා}),[:ගෙවීම],(:Entity {name: මුදල්})
(:Entity {name: විකිණීම}),[:මාරු_කිරීම],(:Entity {name: දේපළ හිමිකම වහාම})
(:Entity {name: විකිණීමට එකඟ වීම}),[:බවට_පත්_වේ],(:Entity {name: විකිණීමක්})
(:Entity {name: විකිණීමට එකඟ වීම}),[:මාරු_කිරීම],(:Entity {name: දේපළ හිමිකම අනාගතයේදී})
